"ffr";"ffrb";"cpit";"cpit1";"cpit2";"cpit3";"cpit4";"cpit5";"cpit6";"cpit7";"cpit8";"coret";"coret1";"coret2";"coret3";"coret4";"coret5";"coret6";"coret7";"coret8";"deflt";"deflt1";"deflt2";"deflt3";"deflt4";"deflt5";"deflt6";"deflt7";"deflt8";"rev_cpi";"rev_cpi_fe";"rev_defl";"rev_pce";"rev_pce_fe";"layoffs";"employment_fluct";"realtime_gap";"expost_gap";"spread_baa";"spread_sp_3m";"base";"m1";"m2";"surplus_gdp";"debt_growth";"debt_gdp";"debt_fed";"debt_fed_share";"spf_cpi_h1_iqr";"spf_cpi_h1_sd";"spf_cpi_h1_mean";"spf_corecpi_h1_iqr";"spf_corecpi_h1_sd";"spf_corecpi_h1_mean";"spf_pce_h1_iqr";"spf_pce_h1_sd";"spf_pce_h1_mean";"spf_corepce_h1_iqr";"spf_corepce_h1_sd";"spf_corepce_h1_mean"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.48421;NA;2.391;NA;NA;NA;-0.67;NA;2.55952545178647;NA;1.9415852259177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.80263;NA;4.2314;NA;NA;NA;-1.08;NA;3.21597203305185;NA;0.298576245039832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.47547;NA;8.19867;NA;NA;NA;-1.79;NA;3.29636934110264;NA;0.300595360371108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.58459;NA;8.52415;NA;NA;NA;-2.21;NA;3.69839444469016;NA;-2.30688192992491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.9433;NA;6.28253;NA;NA;NA;-2.13;NA;4.41647757025659;NA;1.87064451158673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.96477;NA;5.52874;NA;NA;NA;-1.94;NA;3.23310374515713;NA;-0.887028857280536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.97063;NA;1.82927;NA;NA;NA;-2.26;NA;2.88503502441095;NA;-0.739045756697679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.31392;NA;1.29322;NA;NA;NA;-2.37;NA;1.64131754070229;NA;-0.85261350780161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.30503;NA;2.36038;NA;NA;NA;-2.18;NA;0.969247915462735;NA;-2.34566744681876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.90669;NA;1.49304;NA;NA;NA;-2.58;NA;2.91506436369561;NA;0.75927599130537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
